TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Hauses	O	O	O	O	O	O	_	_	_
trotz	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
solange	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
leben	O	O	O	O	O	O	_	_	_
Gulden	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
bezahlen	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
warum	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Haus	O	O	O	O	O	O	_	_	_
umsonst	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Josef	B-PER	O	O	O	O	O	_	_	_
sagt	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
falle	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Franz	B-PER	O	O	O	O	O	_	_	_
Pau	I-PER	O	O	O	O	O	_	_	_
Tekla	I-PER	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Guhl	I-PER	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
100	O	O	O	O	O	O	_	_	_
Mk	B-OTH	O	O	O	O	O	_	_	_
verzichtet	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wollt	O	O	O	O	O	O	_	_	_
machtet	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Sinne	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Hedwig	B-PER	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
erschen	O	O	O	O	O	O	_	_	_
Erbtheil	O	O	O	O	O	O	_	_	_
