TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
feste	O	O	O	O	O	O	_	_	_
Ganz	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Karte	O	O	O	O	O	O	_	_	_
be	O	O	O	O	O	O	_	_	_
bestellt	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Neujahr	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
kommen	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
beim	O	O	O	O	O	O	_	_	_
Herrn	O	O	O	O	O	O	_	_	_
Förster	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
Hasen	O	O	O	O	O	O	_	_	_
bestellt	O	O	O	O	O	O	_	_	_
verliert	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
schweren	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
können	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
leisten	O	O	O	O	O	O	_	_	_
Krankheit	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
ganzes	O	O	O	O	O	O	_	_	_
schöne	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
Tschechisches	O	O	O	O	O	O	_	_	_
schwarzes	O	O	O	O	O	O	_	_	_
Haar	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Füsse	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
ausgezahlt	O	O	O	O	O	O	_	_	_
