TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
böses	O	O	O	O	O	O	_	_	_
kein	O	O	O	O	O	O	_	_	_
welches	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
geheilt	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Tag	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Nacht	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
ermüdet	O	O	O	O	O	O	_	_	_
gearbeitet	O	O	O	O	O	O	_	_	_
Alle	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
große	O	O	O	O	O	O	_	_	_
Manne	O	O	O	O	O	O	_	_	_
Wische	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
schwer	O	O	O	O	O	O	_	_	_
kranken	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
unter	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
ließ	O	O	O	O	O	O	_	_	_
6	O	O	O	O	O	O	_	_	_
Wochen	O	O	O	O	O	O	_	_	_
lung	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
hohe	O	O	O	O	O	O	_	_	_
Fieber	O	O	O	O	O	O	_	_	_
ver	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
gedacht	O	O	O	O	O	O	_	_	_
selbst	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Art	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
müsse	O	O	O	O	O	O	_	_	_
sterben	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Schuld	O	O	O	O	O	O	_	_	_
getan	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
keinen	O	O	O	O	O	O	_	_	_
Weg	O	O	O	O	O	O	_	_	_
gescheut	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
jeden	O	O	O	O	O	O	_	_	_
Weg	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Neustadt	B-LOC	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
nen	O	O	O	O	O	O	_	_	_
Aplat	O	O	O	O	O	O	_	_	_
gefahren	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Nächte	O	O	O	O	O	O	_	_	_
geacht	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
Bald	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
anfing	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
schwer	O	O	O	O	O	O	_	_	_
krank	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
schwester	O	O	O	O	O	O	_	_	_
Torturae	O	O	O	O	O	O	_	_	_
geschrieben	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
sofort	O	O	O	O	O	O	_	_	_
hergekommen	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
geglaubt	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Geschwister	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Amerika	B-LOC	O	O	O	O	O	_	_	_
solche	O	O	O	O	O	O	_	_	_
Äußerungen	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
gedacht	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
7	O	O	O	O	O	O	_	_	_
Dollar	B-OTH	O	O	O	O	O	_	_	_
ertheilen	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
keinen	O	O	O	O	O	O	_	_	_
Pfung	O	O	O	O	O	O	_	_	_
Anrechten	O	O	O	O	O	O	_	_	_
Gutes	O	O	O	O	O	O	_	_	_
zurück	O	O	O	O	O	O	_	_	_
be	O	O	O	O	O	O	_	_	_
halten	O	O	O	O	O	O	_	_	_
Den	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Schwister	O	O	O	O	O	O	_	_	_
Marie	B-PER	O	O	O	O	O	_	_	_
geschrieben	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
gelesen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
erzähle	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
sicht	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
habsichtige	O	O	O	O	O	O	_	_	_
Hedel	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
ihre	O	O	O	O	O	O	_	_	_
Grade	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
gewesen	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
geglaub	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
leben	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
zusammen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
essen	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
Tisch	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
glauben	O	O	O	O	O	O	_	_	_
willst	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
frage	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
selber	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mut	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Testament	O	O	O	O	O	O	_	_	_
