TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
eine	O	O	O	O	O	O	_	_	_
nationale	O	O	O	O	O	O	_	_	_
Regierung	O	O	O	O	O	O	_	_	_
ausge	O	O	O	O	O	O	_	_	_
rufen	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
Kabinett	O	O	O	O	O	O	_	_	_
Knilling	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
abgesetzt	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
verhaftet	O	O	O	O	O	O	_	_	_
worden	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Versammlung	O	O	O	O	O	O	_	_	_
Rahr	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Landesver	O	O	O	O	O	O	_	_	_
weser	O	O	O	O	O	O	_	_	_
Höhner	O	O	O	O	O	O	_	_	_
Ministerpräsident	O	O	O	O	O	O	_	_	_
Lüdendorf	B-PER	O	O	O	O	O	_	_	_
übernimmt	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Führung	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
nationalen	O	O	O	O	O	O	_	_	_
Arme	O	O	O	O	O	O	_	_	_
Lassow	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Reichswahrminister	O	O	O	O	O	O	_	_	_
Seisser	O	O	O	O	O	O	_	_	_
Reichs	B-PER	O	O	O	O	O	_	_	_
Polizminister	O	O	O	O	O	O	_	_	_
Die	B-OTH	O	O	O	O	O	_	_	_
Berliner	I-OTH	O	O	O	O	O	_	_	_
Re	I-OTH	O	O	O	O	O	_	_	_
gierung	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
abgesetzt	O	O	O	O	O	O	_	_	_
erklärt	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
vornehmste	O	O	O	O	O	O	_	_	_
Aufgabe	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
Sippschaft	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
gegen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Sundenbabel	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Berlin	B-LOC	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
marschieren	O	O	O	O	O	O	_	_	_
Jeder	O	O	O	O	O	O	_	_	_
Deutscher	O	O	O	O	O	O	_	_	_
welcher	O	O	O	O	O	O	_	_	_
Ebers	O	O	O	O	O	O	_	_	_
Scheidemann	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Lohn	O	O	O	O	O	O	_	_	_
Paul	B-PER	O	O	O	O	O	_	_	_
Lewr	I-PER	O	O	O	O	O	_	_	_
Theoder	O	O	O	O	O	O	_	_	_
Wolf	B-PER	O	O	O	O	O	_	_	_
Gorg	I-PER	O	O	O	O	O	_	_	_
Bernhard	I-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ihre	O	O	O	O	O	O	_	_	_
Hilfe	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
findig	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
lebendig	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Hand	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Pöllischen	O	O	O	O	O	O	_	_	_
Nationalregierung	O	O	O	O	O	O	_	_	_
abliefern	O	O	O	O	O	O	_	_	_
Als	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
Münches	O	O	O	O	O	O	_	_	_
Zirkeller	O	O	O	O	O	O	_	_	_
setzt	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
