TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Neustadt.	O	O	O	O	O	O	_	_	_
Schles,	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
3.	O	O	O	O	O	O	_	_	_
September	O	O	O	O	O	O	_	_	_
1912.	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
bleibt	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Sonntag	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
führt	O	O	O	O	O	O	_	_	_
Montag	O	O	O	O	O	O	_	_	_
füh¬	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
fein.	O	O	O	O	O	O	_	_	_
Andenken	O	O	O	O	O	O	_	_	_
Obwohl	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
daran	O	O	O	O	O	O	_	_	_
erinnert	O	O	O	O	O	O	_	_	_
habe,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
Alles	O	O	O	O	O	O	_	_	_
gut¬	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
abgewickelt,	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
aufschreiben	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
tief	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
ihrer	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
weder	O	O	O	O	O	O	_	_	_
Schuld	O	O	O	O	O	O	_	_	_
stehe,	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bisher	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
anderes	O	O	O	O	O	O	_	_	_
dazwischen¬	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
dazugekom¬	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
Rodtmuß	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
1.	O	O	O	O	O	O	_	_	_
Octo¬	O	O	O	O	O	O	_	_	_
men,	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
ber	O	O	O	O	O	O	_	_	_
d.	O	O	O	O	O	O	_	_	_
J.	O	O	O	O	O	O	_	_	_
Soldat	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
deßen	O	O	O	O	O	O	_	_	_
einige	O	O	O	O	O	O	_	_	_
Zeilen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
schreiben.	O	O	O	O	O	O	_	_	_
falls	O	O	O	O	O	O	_	_	_
lasse	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
hierin	O	O	O	O	O	O	_	_	_
er¬	O	O	O	O	O	O	_	_	_
Heute	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
stain,	O	O	O	O	O	O	_	_	_
damit	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
vorgenommen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Wenigstens	O	O	O	O	O	O	_	_	_
beians,	O	O	O	O	O	O	_	_	_
Erken¬	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
alten	O	O	O	O	O	O	_	_	_
Schuld	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
entle¬	O	O	O	O	O	O	_	_	_
