TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
und	O	O	O	O	O	O	_	_	_
Geburtstage	O	O	O	O	O	O	_	_	_
freute	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Briefe	O	O	O	O	O	O	_	_	_
Der	O	O	O	O	O	O	_	_	_
tochter	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Famlichen,	O	O	O	O	O	O	_	_	_
Große	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
beiden	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
diesen	O	O	O	O	O	O	_	_	_
