TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
mal	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Himmel	O	O	O	O	O	O	_	_	_
wiedersehen	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
guter	O	O	O	O	O	O	_	_	_
Vater	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
schweren	O	O	O	O	O	O	_	_	_
Zeiten	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
erlebt	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
gestorben	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
ganzen	O	O	O	O	O	O	_	_	_
Kräfte	O	O	O	O	O	O	_	_	_
eingesetzt	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
Nun	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
schließen	O	O	O	O	O	O	_	_	_
indem	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
vergalts	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
herzliche	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Franz	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Familie	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
klar	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Robert	B-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Bruder	I-OTH	O	O	O	O	O	_	_	_
August	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
an	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
kleine	I-OTH	O	O	O	O	O	_	_	_
zukünftige	I-OTH	O	O	O	O	O	_	_	_
Schwäger	I-OTH	O	O	O	O	O	_	_	_
sowie	I-OTH	O	O	O	O	O	_	_	_
an	I-OTH	O	O	O	O	O	_	_	_
dich	I-OTH	O	O	O	O	O	_	_	_
lieber	I-OTH	O	O	O	O	O	_	_	_
Bruder	I-OTH	O	O	O	O	O	_	_	_
Paul	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Schwägerin	I-OTH	O	O	O	O	O	_	_	_
Marte	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Kinder	I-OTH	O	O	O	O	O	_	_	_
chen	I-OTH	O	O	O	O	O	_	_	_
Indem	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
Euch	I-OTH	O	O	O	O	O	_	_	_
alle	I-OTH	O	O	O	O	O	_	_	_
dem	I-OTH	O	O	O	O	O	_	_	_
lieben	I-OTH	O	O	O	O	O	_	_	_
Gristkindlein	I-OTH	O	O	O	O	O	_	_	_
empfehle	I-OTH	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
dankbare	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
Schwägerin	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Tante	O	O	O	O	O	O	_	_	_
Fortunata	B-OTH	O	O	O	O	O	_	_	_
Bitte	I-OTH	O	O	O	O	O	_	_	_
schreibt	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
auch	I-OTH	O	O	O	O	O	_	_	_
wieder	I-OTH	O	O	O	O	O	_	_	_
mal	I-OTH	O	O	O	O	O	_	_	_
Herzliche	I-OTH	O	O	O	O	O	_	_	_
Grüße	I-OTH	O	O	O	O	O	_	_	_
von	I-OTH	O	O	O	O	O	_	_	_
einer	I-OTH	O	O	O	O	O	_	_	_
lieben	I-OTH	O	O	O	O	O	_	_	_
Mit	I-OTH	O	O	O	O	O	_	_	_
schwester	I-OTH	O	O	O	O	O	_	_	_
Philothe	I-OTH	O	O	O	O	O	_	_	_
Strelitz	I-OTH	O	O	O	O	O	_	_	_
d	I-OTH	O	O	O	O	O	_	_	_
14	I-OTH	O	O	O	O	O	_	_	_
12	O	O	O	O	O	O	_	_	_
