TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
In	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
clerlich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Nachtschen	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
Hedwig	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Paul	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
Verhältnis	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Großmutter	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
erzählt	O	O	O	O	O	O	_	_	_
Eure	O	O	O	O	O	O	_	_	_
freude	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
zustimm	O	O	O	O	O	O	_	_	_
mung	O	O	O	O	O	O	_	_	_
gegeben	O	O	O	O	O	O	_	_	_
dazu	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Haus	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
h	O	O	O	O	O	O	_	_	_
geben	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
davon	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
niemand	O	O	O	O	O	O	_	_	_
geschrieben	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Schuster	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
nämlich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
allem	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Amen	B-OTH	RELIGION	O	O	O	O	Q173445	_	_
sagen	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
fort	O	O	O	O	O	O	_	_	_
