TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
der	O	O	O	O	O	O	_	_	_
haften	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
folge	O	O	O	O	O	O	_	_	_
Den	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
nahe	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
nah	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
se	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
liegt	O	O	O	O	O	O	_	_	_
gehet	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
wen	O	O	O	O	O	O	_	_	_
legt	O	O	O	O	O	O	_	_	_
sondern	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Karte	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Gadeschneiders	O	O	O	O	O	O	_	_	_
Hause	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wohnen	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
darauf	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
unseren	O	O	O	O	O	O	_	_	_
Sommergästen	O	O	O	O	O	O	_	_	_
Josef	O	O	O	O	O	O	_	_	_
beim	O	O	O	O	O	O	_	_	_
Rocke	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Tochter	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Sommergessen	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Erwin	O	O	O	O	O	O	_	_	_
welcher	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Schritte	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Dann	O	O	O	O	O	O	_	_	_
hinten	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Gedie	O	O	O	O	O	O	_	_	_
Pastorn	O	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
Johann	O	O	O	O	O	O	_	_	_
Heidenreich	O	O	O	O	O	O	_	_	_
wohern	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
weisen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
itz	O	O	O	O	O	O	_	_	_
gegen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Produkt	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Hintergrunde	O	O	O	O	O	O	_	_	_
sieht	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
beschrieb	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
zuhause	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Stuck	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Beich	O	O	O	O	O	O	_	_	_
lesen	O	O	O	O	O	O	_	_	_
konntest	O	O	O	O	O	O	_	_	_
