TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
blütern	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
Herz	O	O	O	O	O	O	_	_	_
arbeitet	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
Schme	O	O	O	O	O	O	_	_	_
zen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
kan	O	O	O	O	O	O	_	_	_
vielleicht	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
wegschlafen	B-OTH	O	O	O	O	O	_	_	_
es	I-OTH	O	O	O	O	O	_	_	_
tat	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
ge	I-OTH	O	O	O	O	O	_	_	_
5	I-OTH	O	O	O	O	O	_	_	_
sezlich	I-OTH	O	O	O	O	O	_	_	_
leid	I-OTH	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Gedanken	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
Amalia	B-PER	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
ver	O	O	O	O	O	O	_	_	_
hoffnung	O	O	O	O	O	O	_	_	_
vorhanden	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
richtiges	O	O	O	O	O	O	_	_	_
Wech	B-OTH	O	O	O	O	O	_	_	_
nachtsvetter	I-OTH	O	O	O	O	O	_	_	_
hier	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
son	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
an	I-OTH	O	O	O	O	O	_	_	_
denken	I-OTH	O	O	O	O	O	_	_	_
daß	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
ein	I-OTH	O	O	O	O	O	_	_	_
winachts	I-OTH	O	O	O	O	O	_	_	_
bemühen	I-OTH	O	O	O	O	O	_	_	_
schmücke	I-OTH	O	O	O	O	O	_	_	_
beide	I-OTH	O	O	O	O	O	_	_	_
schade	I-OTH	O	O	O	O	O	_	_	_
est	I-OTH	O	O	O	O	O	_	_	_
fur	I-OTH	O	O	O	O	O	_	_	_
Eu	I-OTH	O	O	O	O	O	_	_	_
daß	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
nähere	I-OTH	O	O	O	O	O	_	_	_
Entbin	I-OTH	O	O	O	O	O	_	_	_
gewiß	O	O	O	O	O	O	_	_	_
wurde	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
guten	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Zeiten	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
hierin	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
deutschen	O	O	O	O	O	O	_	_	_
schen	O	O	O	O	O	O	_	_	_
getrage	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
se	O	O	O	O	O	O	_	_	_
Worte	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
genen	O	O	O	O	O	O	_	_	_
Menschen	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Not	O	O	O	O	O	O	_	_	_
leuten	O	O	O	O	O	O	_	_	_
Nun	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Thek	O	O	O	O	O	O	_	_	_
bitten	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
möchte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
sen	O	O	O	O	O	O	_	_	_
ne	O	O	O	O	O	O	_	_	_
Auslagen	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
kostet	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
