TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Es	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Prediger	O	O	O	O	O	O	_	_	_
Widersche	O	O	O	O	O	O	_	_	_
Werke	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
nächsten	O	O	O	O	O	O	_	_	_
Stephan	B-PER	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
vielesungenen	O	O	O	O	O	O	_	_	_
blauen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Bild	O	O	O	O	O	O	_	_	_
beilegen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Aufnahme	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
München	B-LOC	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Bewarin	O	O	O	O	O	O	_	_	_
machten	O	O	O	O	O	O	_	_	_
Von	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
reisten	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
Doman	O	O	O	O	O	O	_	_	_
vorbei	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Budapest	B-LOC	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
s	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
endt	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
ihre	O	O	O	O	O	O	_	_	_
Heimat	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
nebenbei	O	O	O	O	O	O	_	_	_
