


Paul _ O I-PER
Nun _ O I-PER
einlegen _ O O
. _ O O

Auch _ O O
die _ O O
jüngste _ O O
hin _ O O
kommt _ O O
. _ O O

Titt _ O O
schicke _ O O
mir _ O O
doch _ O O
einen _ O O
Fingering _ O O
mit _ O O
ich _ O O
würde _ O O
mich _ O O
Schwester _ O O
den _ O O
Rede _ O O
ist _ O O
ein _ O O
Hirschönes _ O I-PER
sehr _ O O
freuen _ O O
. _ O O

Aber _ O O
es _ O O
ist _ O O
schon _ O O
sehr _ O O
München _ O I-PER Q1726
, _ O O
sie _ O O
ist _ O O
erst _ O O
17 _ O I-DATE
Jahre _ O I-DATE
und _ O O
hätte _ O O
möglich _ O O
, _ O O
daß _ O O
ich _ O O
auch _ O O
mit _ O O
komme _ O O
¬ _ O O
auch _ O O
große _ O O
Lust _ O O
mit _ O O
über _ O O
zukommen _ O O
Hoffen _ O O
war _ O O
Bruder _ O O
Paul _ O I-PER
den _ O O
Aber _ O O
Marta _ O I-PER
hat _ O O
nicht _ O O
fast _ O O
sie _ O O
mit _ O O
¬ _ O O
zunehmen _ O O
, _ O O
weil _ O O
sie _ O O
noch _ O O
so _ O O
gung _ O O
Brief _ O O
von _ O O
mir _ O O
u _ O I-PER
. _ O O

Martel _ O I-PER
den _ O O
wir _ O O
schon _ O O
über _ O O
8 _ O O
Tage _ O O
wegeschie _ O O
¬ _ O O
ist _ O O
. _ O O

Liebe _ O O
Thekla _ O O
wie _ O O
wäre _ O O
es _ O O
wenn _ O O
haben _ O O
erhalten _ O O
haben _ O O
. _ O O

Ich _ O O
und _ O O
Mark _ O I-PER
ach _ O O
auch _ O O
mit _ O O
Simme _ O O
wurde _ O O
ich _ O O
auf _ O O
lassen _ O O
uns _ O O
jetzt _ O O
Portographie _ O O
nach _ O O
einen _ O O
Bräutigam _ O O
kegen _ O O
Da _ O O
bekauft _ O O
du _ O O
in _ O O
alle _ O O
ein _ O O
Bild _ O O
¬ _ O O
Ich _ O O
will _ O O
jetzt _ O O
15 _ O I-DATE
Mai _ O I-DATE
kündigen _ O O
. _ O O

Die _ O O
Schmied _ O O
Martel _ O I-PER
, _ O O
odel _ O O
u _ O O
. _ O O

Witt _ O I-PER
¬ _ O O
Ich _ O O
werde _ O O
ja _ O O
sehen _ O O
was _ O O
Rike _ O I-PER Q96054
auch _ O O
Anna _ O I-PER Q253446
die _ O O
der _ O O
Hampel _ O I-PER Q2895083
Pras _ O O
armer _ O O
u _ O O
. _ O O

Fiel _ O O
Görlich _ O O
erzählen _ O O
hat _ O O
lassen _ O O
auch _ O O
100 _ O I-CARDINAL
grüßen _ O O
werden _ O O
. _ O O

Will _ O O
fiel _ O O
Görlich _ O O
sich _ O O
auch _ O O
eine _ O O
haben _ O O
, _ O O
oder _ O O
bleibt _ O O
wer _ O O
¬ _ O O
u _ O O
. _ O O
haben _ O O
sich _ O O
sehr _ O O
über _ O O
einen _ O O
in _ O O
Deutschland _ O I-LOC Q183
habe _ O O
Thekla _ O O
laß _ O O
den _ O O
Brief _ O O
gefreut _ O O
. _ O O

Marta _ O B-PER
will _ O O
der _ O O
gleich _ O O
Brief _ O O
von _ O O
Paul _ O I-PER
lesen _ O O
es _ O O
sage _ O O
ihm _ O O
Antwort _ O O
schreiben _ O O
, _ O O
Mit _ O O
dem _ O O
also _ O O
nur _ O O
die _ O O
Marta _ O I-PER
war _ O O
ganz _ O O
weg _ O O
schluß _ O O
. _ O O

Auch _ O O
will _ O O
ich _ O O
dir _ O O
wiederum _ O O
auf _ O O
die _ O O
schönen _ O O
Photographie _ O O
. _ O O

Ich _ O O
aber _ O O
Neuigkeiten _ O O
berichten _ O O
, _ O O
der _ O O
habe _ O O
ihr _ O O
noch _ O O
gestern _ O O
alle _ O O
von _ O O
Herr _ O O
Gürtler _ O I-NIL
kam _ O O
der _ O O
2 _ O I-CARDINAL
. _ O O
der _ O O
zu _ O O
Hause _ O O
gezeicht _ O O
, _ O O
wo _ O O
er _ O O
auch _ O O
groß _ O O
Dir _ O O
oft _ O O
grüßte _ O O
mitgeschickt _ O O
hat _ O O
. _ O O

Portogaphiert _ O O
ist _ O O
es _ O O
gefiel _ O O
ihn _ O O
ist _ O O
auch _ O O
schon _ O O
vor _ O O
ungefähr _ O O
¬ _ O O
immer _ O O
eine _ O O
besser _ O O
wie _ O O
die _ O O
andern _ O O
4 _ O O
Wochen _ O O
beerdigt _ O O
wurden _ O O
, _ O O
Er _ O O
soll _ O O
nur _ O O
das _ O O
Reisegeld _ O O
mit _ O O
schicken _ O O
Er _ O O
war _ O O
Lungenkrank _ O O
, _ O O
auch _ O O
die _ O O
alte _ O O
sie _ O O
kommt _ O O
schon _ O O
mit _ O O
, _ O O
das _ O O
weiß _ O O
ich _ O O
Ich _ O O
hätte _ O O
auch _ O O
eine _ O O
bitte _ O O
wenn _ O O
Pfarreter _ O O
vom _ O O
Pfarrer _ O O
Baum _ O O
der _ O O
Brief _ O O
noch _ O O
zur _ O O
rechten _ O O
Zeit _ O O
