TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
ten	O	O	O	O	O	O	_	_	_
Wie	B-OTH	O	O	O	O	O	Q7997989	_	_
ist	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Kegel	B-OTH	O	O	O	O	O	Q1795462	_	_
schaft	O	O	O	O	O	O	_	_	_
untergekommen	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Überfahrt	O	O	O	O	O	O	_	_	_
überstanden	O	O	O	O	O	O	_	_	_
Wenn	B-OTH	O	O	O	O	O	Q282	_	_
du	O	O	O	O	O	O	_	_	_
Zeit	B-OTH	O	O	O	O	O	Q8068886	_	_
hast	O	O	O	O	O	O	_	_	_
schreib	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
bitte	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Reisebericht	B-OTH	O	O	O	O	O	Q21976260	_	_
Auch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
danke	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Übersendung	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Schacks	B-OTH	O	O	O	O	O	Q1411808	_	_
Josef	B-PER	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
Nachricht	B-OTH	O	O	O	O	O	Q28100128	_	_
von	O	O	O	O	O	O	_	_	_
such	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
morgen	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Augenliege	O	O	O	O	O	O	_	_	_
operiert	O	O	O	O	O	O	_	_	_
Eine	O	O	O	O	O	O	_	_	_
Kanalbrüten	B-OTH	O	O	O	O	O	Q67883105	_	_
verstopfung	O	O	O	O	O	O	_	_	_
Sollte	B-OTH	O	O	O	O	O	Q1779350	_	_
schon	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
halben	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
gemacht	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
gelassen	O	O	O	O	O	O	_	_	_
Nur	B-OTH	O	O	O	O	O	Q12556510	_	_
außerlich	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
München	B-LOC	O	O	O	O	O	Q1726	_	_
ein	O	O	O	O	O	O	_	_	_
geführt	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
viele	O	O	O	O	O	O	_	_	_
Sehenswürdigkeiten	O	O	O	O	O	O	_	_	_
gezeigt	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
verstehen	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
Ihm	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
unten	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
gefällt	O	O	O	O	O	O	_	_	_
Von	B-OTH	O	O	O	O	O	Q177764	_	_
Heiraten	B-OTH	O	O	O	O	O	Q899561	_	_
will	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nichts	O	O	O	O	O	O	_	_	_
wissen	O	O	O	O	O	O	_	_	_
Das	B-OTH	O	O	O	O	O	Q851746	_	_
war	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
lustiger	O	O	O	O	O	O	_	_	_
Abend	B-OTH	O	O	O	O	O	Q318949	_	_
im	O	O	O	O	O	O	_	_	_
Hof	B-OTH	O	O	O	O	O	Q23793187	_	_
Brauhaus	B-OTH	O	O	O	O	O	Q11389	_	_
Ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
blos	O	O	O	O	O	O	_	_	_
gesehen	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
gestant	O	O	O	O	O	O	_	_	_
Anläßlich	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Katholikenlages	B-OTH	O	O	O	O	O	Q1140178	_	_
war	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
nämlich	O	O	O	O	O	O	_	_	_
Gesellen	O	O	O	O	O	O	_	_	_
abend	O	O	O	O	O	O	_	_	_
