TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Berlin	B-OTH	O	O	O	O	O	Q152526	_	_
den	O	O	O	O	O	O	_	_	_
10	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	_
1820	O	O	O	O	O	O	_	_	_
Meine	B-OTH	O	O	O	O	O	Q5881191	_	_
liebe	O	O	O	O	O	O	_	_	_
kein	O	O	O	O	O	O	_	_	_
Braut	B-OTH	O	O	O	O	O	Q896436	_	_
Voller	O	O	O	O	O	O	_	_	_
Sehnsucht	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Besorgniß	O	O	O	O	O	O	_	_	_
schreibe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
heute	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
mehrere	O	O	O	O	O	O	_	_	_
Wochen	B-OTH	O	O	O	O	O	Q849734	_	_
ohne	O	O	O	O	O	O	_	_	_
jede	O	O	O	O	O	O	_	_	_
Nachricht	B-OTH	O	O	O	O	O	Q28100128	_	_
von	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
Bist	B-OTH	O	O	O	O	O	Q1759052	_	_
du	O	O	O	O	O	O	_	_	_
vieleicht	O	O	O	O	O	O	_	_	_
krank	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
sonst	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Anliegen	B-OTH	O	O	O	O	O	Q1496873	_	_
was	O	O	O	O	O	O	_	_	_
Dich	B-OTH	O	O	O	O	O	Q1225145	_	_
kränkt	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
hatt	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
letzter	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
gefallen	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
besser	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
Nur	B-OTH	O	O	O	O	O	Q12556510	_	_
laß	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
hören	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
diese	O	O	O	O	O	O	_	_	_
Ungewißheit	O	O	O	O	O	O	_	_	_
macht	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
krank	O	O	O	O	O	O	_	_	_
Dich	B-OTH	O	O	O	O	O	Q1225145	_	_
liebes	O	O	O	O	O	O	_	_	_
