TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Liebe	O	O	O	O	O	O	_	_	_
Schwägerin	O	O	O	O	O	O	_	_	_
Vor	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Deine	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Zeilen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nochmals	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
besten	O	O	O	O	O	O	_	_	_
Glückwünsche	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
freudigen	O	O	O	O	O	O	_	_	_
Familien	O	O	O	O	O	O	_	_	_
wegnis	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
freue	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Onkel	O	O	O	O	O	O	_	_	_
geworden	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Kleine	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
drei	O	O	O	O	O	O	_	_	_
Monate	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
tüchtig	O	O	O	O	O	O	_	_	_
schein	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
größer	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
geworden	O	O	O	O	O	O	_	_	_
Hauptsache	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
Deutschland	B-LOC	O	O	O	O	O	Q183	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Familien	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
trostlos	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
viele	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Milch	B-OTH	FOOD	O	O	O	O	Q8495	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
kaufen	O	O	O	O	O	O	_	_	_
können	O	O	O	O	O	O	_	_	_
Selbst	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
brot	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
allernotwendigsten	O	O	O	O	O	O	_	_	_
fehlt	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
Wenn	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
durch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Straßen	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sicht	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Bückerladen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
weinenden	O	O	O	O	O	O	_	_	_
Frauen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
sure	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
Bott	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Preis	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
täglich	O	O	O	O	O	O	_	_	_
fest	O	O	O	O	O	O	_	_	_
gesetzt	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
nächsten	O	O	O	O	O	O	_	_	_
Tag	O	O	O	O	O	O	_	_	_
hoher	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
