TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Lungenbrück	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
254	O	O	O	O	O	O	_	_	_
Lieber	O	O	O	O	O	O	_	_	_
Schwager	O	O	O	O	O	O	_	_	_
Robert	B-PER	O	O	O	O	O	_	_	_
bekla	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
frei	O	O	O	O	O	O	_	_	_
dass	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
denken	O	O	O	O	O	O	_	_	_
Der	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
thun	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
bleibt	O	O	O	O	O	O	_	_	_
halt	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
Also	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
fielen	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
ersehen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
eiche	O	O	O	O	O	O	_	_	_
Briefen	O	O	O	O	O	O	_	_	_
ebenfalls	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
anderen	O	O	O	O	O	O	_	_	_
Geschwister	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
fer	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
