TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Horst	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
88	O	O	O	O	O	O	_	_	_
Liebste	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
furchtbar	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
her	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
nichts	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
ander	O	O	O	O	O	O	_	_	_
gehört	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
Hoffentlich	O	O	O	O	O	O	_	_	_
seid	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
munter	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dasselbe	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
sagen	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Woche	O	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
brauchen	O	O	O	O	O	O	_	_	_
kaum	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
nämlich	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
schwer	O	O	O	O	O	O	_	_	_
gehabt	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
letzten	O	O	O	O	O	O	_	_	_
pro	O	O	O	O	O	O	_	_	_
Jahren	O	O	O	O	O	O	_	_	_
Hier	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
heiß	O	O	O	O	O	O	_	_	_
gewesen	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
angenehm	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
einha	O	O	O	O	O	O	_	_	_
tiges	O	O	O	O	O	O	_	_	_
Gewitter	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
schnell	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
Kleinen	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
kleine	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
Ja	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Hände	O	O	O	O	O	O	_	_	_
voll	O	O	O	O	O	O	_	_	_
Arbeit	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
dich	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
seit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
letzten	O	O	O	O	O	O	_	_	_
Jahr	O	O	O	O	O	O	_	_	_
ziemlich	O	O	O	O	O	O	_	_	_
zugenom	O	O	O	O	O	O	_	_	_
men	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wiege	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
60	O	O	O	O	O	O	_	_	_
Pfund	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
dran	O	O	O	O	O	O	_	_	_
halt	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
keiner	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
kennen	O	O	O	O	O	O	_	_	_
Sin	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Geschwister	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
un	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
besser	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Arbeit	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
möchte	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Gene	O	O	O	O	O	O	_	_	_
bestellt	O	O	O	O	O	O	_	_	_
schen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
konsolitz	O	O	O	O	O	O	_	_	_
wo	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
zuricht	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
einge	O	O	O	O	O	O	_	_	_
