TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Im	O	O	O	O	O	O	_	_	_
Februar	O	O	O	O	O	O	_	_	_
1815	O	O	O	O	O	O	_	_	_
faßte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Entschluß	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Weihnachten	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
Am	O	O	O	O	O	O	_	_	_
Hl	O	O	O	O	O	O	_	_	_
Abend	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
Jubelfahr	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
reisen	O	O	O	O	O	O	_	_	_
Hasse	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
September	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Auge	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
zehn	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
Dienst	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
zwei	O	O	O	O	O	O	_	_	_
Stunden	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
zwölf	O	O	O	O	O	O	_	_	_
verlebte	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Einweisung	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
Gesellenhauses	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
beizuwohnen	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Weihnachtsfeier	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Gesellen	O	O	O	O	O	O	_	_	_
verein	O	O	O	O	O	O	_	_	_
Am	O	O	O	O	O	O	_	_	_
12	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
Anderte	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Plan	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ab	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Wintermonaten	O	O	O	O	O	O	_	_	_
gings	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Christnacht	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Michaelskirche	O	O	O	O	O	O	_	_	_
Nachher	O	O	O	O	O	O	_	_	_
sieben	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
Urlaub	O	O	O	O	O	O	_	_	_
giebt	O	O	O	O	O	O	_	_	_
Am	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
uner	O	O	O	O	O	O	_	_	_
folgte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
Einladung	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
bekanten	O	O	O	O	O	O	_	_	_
wartt	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
anderen	O	O	O	O	O	O	_	_	_
Dienst	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
beinahe	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
Familie	O	O	O	O	O	O	_	_	_
wo	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
ungen	O	O	O	O	O	O	_	_	_
Kreis	O	O	O	O	O	O	_	_	_
beim	O	O	O	O	O	O	_	_	_
brennenden	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
ganze	O	O	O	O	O	O	_	_	_
Plan	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Brüche	O	O	O	O	O	O	_	_	_
gegangen	O	O	O	O	O	O	_	_	_
So	O	O	O	O	O	O	_	_	_
schien	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Christbaum	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
drei	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
schönen	O	O	O	O	O	O	_	_	_
deutschen	O	O	O	O	O	O	_	_	_
weiter	O	O	O	O	O	O	_	_	_
ferne	O	O	O	O	O	O	_	_	_
gerückt	O	O	O	O	O	O	_	_	_
Ende	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	_
Gelang	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
Weihnachtslieder	O	O	O	O	O	O	_	_	_
erschallen	O	O	O	O	O	O	_	_	_
ließen	O	O	O	O	O	O	_	_	_
Um	O	O	O	O	O	O	_	_	_
7	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
Urlaub	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
15	O	O	O	O	O	O	_	_	_
Dez	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Wunsch	O	O	O	O	O	O	_	_	_
endlich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Hause	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
meinem	O	O	O	O	O	O	_	_	_
Zimmer	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
steckte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ging	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Erfüllung	O	O	O	O	O	O	_	_	_
Aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Pomreise	O	O	O	O	O	O	_	_	_
selbst	O	O	O	O	O	O	_	_	_
meinen	O	O	O	O	O	O	_	_	_
Christbaum	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
drei	O	O	O	O	O	O	_	_	_
Kerzen	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Dir	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
nächsten	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Romreise	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
7	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
hielt	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
Weihnachtsfeier	O	O	O	O	O	O	_	_	_
brachte	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
inhaltsreichsten	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
meines	O	O	O	O	O	O	_	_	_
Lebens	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Dienst	O	O	O	O	O	O	_	_	_
Abends	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
ersten	O	O	O	O	O	O	_	_	_
Weihnachtstag	O	O	O	O	O	O	_	_	_
Anfang	O	O	O	O	O	O	_	_	_
Februar	O	O	O	O	O	O	_	_	_
kehrten	O	O	O	O	O	O	_	_	_
Theo	B-PER	O	O	O	O	O	_	_	_
Oskamp	I-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Clemens	B-PER	O	O	O	O	O	_	_	_
Cramer	I-PER	O	O	O	O	O	_	_	_
zwei	O	O	O	O	O	O	_	_	_
Bubbruder	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
damals	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
kunft	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
hielten	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Blub	O	O	O	O	O	O	_	_	_
Weihnachtsfeier	O	O	O	O	O	O	_	_	_
Etwa	O	O	O	O	O	O	_	_	_
fünfzig	O	O	O	O	O	O	_	_	_
München	B-LOC	O	O	O	O	O	Q1726	_	_
zurück	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
waren	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Wien	B-LOC	O	O	O	O	O	Q1741	_	_
aus	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Oktober	O	O	O	O	O	O	_	_	_
24	O	O	O	O	O	O	_	_	_
Blubbruder	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Schriftbaum	O	O	O	O	O	O	_	_	_
geschwert	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
Konstantinopel	B-LOC	O	O	O	O	O	Q16869	_	_
gewandert	O	O	O	O	O	O	_	_	_
