TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
denken	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Bekante	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
aka	O	O	O	O	O	O	_	_	_
ut	O	O	O	O	O	O	_	_	_
potest	O	O	O	O	O	O	_	_	_
Maß	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
be	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Schnungen	O	O	O	O	O	O	_	_	_
aufreuen	O	O	O	O	O	O	_	_	_
Regierung	O	O	O	O	O	O	_	_	_
