TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Jahr	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
wissen	O	O	O	O	O	O	_	_	_
nämlich	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
schulden	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
Bauplatz	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
billig	O	O	O	O	O	O	_	_	_
geborgt	O	O	O	O	O	O	_	_	_
Aus	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
gar	O	O	O	O	O	O	_	_	_
Reden	O	O	O	O	O	O	_	_	_
bange	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Zinsen	O	O	O	O	O	O	_	_	_
bringen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
Sache	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Scheu	O	O	O	O	O	O	_	_	_
gemacht	O	O	O	O	O	O	_	_	_
Z	O	O	O	O	O	O	_	_	_
Bsch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
meisten	O	O	O	O	O	O	_	_	_
baum	O	O	O	O	O	O	_	_	_
ohne	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Pfenning	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
besitzen	O	O	O	O	O	O	_	_	_
hauptsache	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Bauplatz	O	O	O	O	O	O	_	_	_
selbst	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
sorgen	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
darf	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
eingetragen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
darauf	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Ge	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
bezahlt	O	O	O	O	O	O	_	_	_
z	O	O	O	O	O	O	_	_	_
B	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
monatlich	O	O	O	O	O	O	_	_	_
15	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
allem	O	O	O	O	O	O	_	_	_
So	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
Josef	B-PER	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Hedwig	B-PER	O	O	O	O	O	_	_	_
