TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
solchen	O	O	O	O	O	O	_	_	_
Kreisen	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
fragen	O	O	O	O	O	O	_	_	_
welchen	O	O	O	O	O	O	_	_	_
Umstanden	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
zuzuschrei	O	O	O	O	O	O	_	_	_
ten	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Pastoris	O	O	O	O	O	O	_	_	_
1500	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
höher	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
früher	O	O	O	O	O	O	_	_	_
