TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Wie	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
schrieb	O	O	O	O	O	O	_	_	_
ward	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
fer	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
4	O	O	O	O	O	O	_	_	_
September	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Mantel	O	O	O	O	O	O	_	_	_
kaufen	O	O	O	O	O	O	_	_	_
Sacht	O	O	O	O	O	O	_	_	_
Mein	O	O	O	O	O	O	_	_	_
lieber	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
gekannt	O	O	O	O	O	O	_	_	_
Wenn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
gefällt	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
ersten	O	O	O	O	O	O	_	_	_
Gruß	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
dich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
findet	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
Welt	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
deinem	O	O	O	O	O	O	_	_	_
