TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
2	O	O	O	O	O	O	_	_	_
rig	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
anzusehen	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Mis	O	O	O	O	O	O	_	_	_
Teigno	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
furchtbar	O	O	O	O	O	O	_	_	_
darunter	O	O	O	O	O	O	_	_	_
gelitten	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Majori	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
tut	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
leid	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
va	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
ren	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
gute	O	O	O	O	O	O	_	_	_
Leute	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Schwindel	O	O	O	O	O	O	_	_	_
anfällen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
thun	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
gedacht	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Sauerkraut	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Cordessen	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
morgen	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
allzu	O	O	O	O	O	O	_	_	_
reichen	O	O	O	O	O	O	_	_	_
Ladung	O	O	O	O	O	O	_	_	_
fing	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
gebrechen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
hohen	O	O	O	O	O	O	_	_	_
Fieber	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
lang	O	O	O	O	O	O	_	_	_
gehabt	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
seit	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
Mo	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
besser	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	_
dank	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
krank	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
Jetzt	O	O	O	O	O	O	_	_	_
gehe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
3	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Woche	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Zahnarzt	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
fro	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Ende	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
all	O	O	O	O	O	O	_	_	_
deinen	O	O	O	O	O	O	_	_	_
Lieben	O	O	O	O	O	O	_	_	_
angehörigen	O	O	O	O	O	O	_	_	_
Ist	O	O	O	O	O	O	_	_	_
Robert	B-PER	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
besser	O	O	O	O	O	O	_	_	_
gestellt	O	O	O	O	O	O	_	_	_
gesundtheitlich	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
stätige	O	O	O	O	O	O	_	_	_
Position	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
ver	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
fünf	O	O	O	O	O	O	_	_	_
Monate	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Hände	O	O	O	O	O	O	_	_	_
voll	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
thun	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sagt	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
froh	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
vorbei	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
Nächsten	O	O	O	O	O	O	_	_	_
kannt	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Vater	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
tot	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Briefe	O	O	O	O	O	O	_	_	_
vermisse	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
schrieb	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Neuigkeit	O	O	O	O	O	O	_	_	_
