TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
zu	O	O	O	O	O	O	_	_	_
hochweils	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Magin	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Sohn	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
darin	O	O	O	O	O	O	_	_	_
stelen	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
tödlich	O	O	O	O	O	O	_	_	_
verunglück	O	O	O	O	O	O	_	_	_
vorigen	O	O	O	O	O	O	_	_	_
Jahr	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
mußten	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Geld	O	O	O	O	O	O	_	_	_
auszahlen	O	O	O	O	O	O	_	_	_
Da	O	O	O	O	O	O	_	_	_
zog	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kehle	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Jetzt	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
weilt	O	O	O	O	O	O	_	_	_
seines	O	O	O	O	O	O	_	_	_
geschrieben	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Schluß	O	O	O	O	O	O	_	_	_
viele	O	O	O	O	O	O	_	_	_
hausend	O	O	O	O	O	O	_	_	_
Größe	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Ruße	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Allen	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Lieben	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
verbleiben	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Jesus	O	O	O	O	O	O	_	_	_
un	O	O	O	O	O	O	_	_	_
Maria	B-PER	O	O	O	O	O	_	_	_
Ewer	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
liebende	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
Agnes	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Barthold	O	O	O	O	O	O	_	_	_
N	O	O	O	O	O	O	_	_	_
13	O	O	O	O	O	O	_	_	_
Von	O	O	O	O	O	O	_	_	_
Selben	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Onkel	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Hampel	O	O	O	O	O	O	_	_	_
Stell	O	O	O	O	O	O	_	_	_
macher	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
27	O	O	O	O	O	O	_	_	_
Juli	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
bestattet	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
solcher	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Ruhe	O	O	O	O	O	O	_	_	_
Stellmacher	O	O	O	O	O	O	_	_	_
Herr	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ewige	O	O	O	O	O	O	_	_	_
Ruh	O	O	O	O	O	O	_	_	_
