TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
aufbewahrt	O	O	O	O	O	O	_	_	_
Diese	O	O	O	O	O	O	_	_	_
Reliquie	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Prozession	O	O	O	O	O	O	_	_	_
Festhäfte	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
großes	O	O	O	O	O	O	_	_	_
gesessen	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
wohnte	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
mitgeführt	O	O	O	O	O	O	_	_	_
Daher	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Name	O	O	O	O	O	O	_	_	_
Blutsprozession	O	O	O	O	O	O	_	_	_
Gesellenhaus	O	O	O	O	O	O	_	_	_
Daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
kurz	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
Eine	O	O	O	O	O	O	_	_	_
schöne	O	O	O	O	O	O	_	_	_
große	O	O	O	O	O	O	_	_	_
Kirche	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
berühmter	O	O	O	O	O	O	_	_	_
Orgel	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
klar	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
überragt	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Städtchen	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
größte	O	O	O	O	O	O	_	_	_
Pfeife	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Dampfer	O	O	O	O	O	O	_	_	_
George	O	O	O	O	O	O	_	_	_
Kasington	O	O	O	O	O	O	_	_	_
7	O	O	O	O	O	O	_	_	_
Possess	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Orgel	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
10	O	O	O	O	O	O	_	_	_
m	O	O	O	O	O	O	_	_	_
lang	O	O	O	O	O	O	_	_	_
120	O	O	O	O	O	O	_	_	_
m	O	O	O	O	O	O	_	_	_
Umfang	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
1200	O	O	O	O	O	O	_	_	_
liter	O	O	O	O	O	O	_	_	_
Nachmittags	O	O	O	O	O	O	_	_	_
wandert	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
weiter	O	O	O	O	O	O	_	_	_
