TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
der	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Gott	B-OTH	O	O	O	O	O	Q190	_	_
daß	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
reichen	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
Hedwig	O	O	O	O	O	O	_	_	_
schickte	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Weihnachts	B-OTH	O	O	O	O	O	Q19809	_	_
paket	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Kirchen	B-OTH	O	O	O	O	O	Q34651	_	_
Äpfel	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Pfefferung	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
hatt	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
erinnerst	O	O	O	O	O	O	_	_	_
Dich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mohnabe	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Schlesien	B-LOC	O	O	O	O	O	Q81720	_	_
so	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
gebacken	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
Hedel	O	O	O	O	O	O	_	_	_
hatt	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
los	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Backen	O	O	O	O	O	O	_	_	_
Nun	O	O	O	O	O	O	_	_	_
kleiner	O	O	O	O	O	O	_	_	_
Liebling	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
dein	O	O	O	O	O	O	_	_	_
sonstiges	O	O	O	O	O	O	_	_	_
Befinden	O	O	O	O	O	O	_	_	_
Bist	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
geworden	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
scher	O	O	O	O	O	O	_	_	_
bist	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
freue	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
bist	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
leüchtige	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
wirst	O	O	O	O	O	O	_	_	_
Mein	O	O	O	O	O	O	_	_	_
Schatz	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Dir	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
wollte	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Telleichen	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
fertig	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
sehen	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
abschicken	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
Muß	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Ausfuhrbewilligung	O	O	O	O	O	O	_	_	_
besorgen	O	O	O	O	O	O	_	_	_
Kann	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Liebling	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gieb	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
schnell	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Kuß	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
schlüße	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
bleibe	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Grüßen	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Teuer	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Robert	B-PER	O	O	O	O	O	_	_	_
Balli	I-PER	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
31	O	O	O	O	O	O	_	_	_
12	O	O	O	O	O	O	_	_	_
Meine	O	O	O	O	O	O	_	_	_
innig	O	O	O	O	O	O	_	_	_
geliebte	O	O	O	O	O	O	_	_	_
Braut	O	O	O	O	O	O	_	_	_
Seit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
30	O	O	O	O	O	O	_	_	_
November	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Thea	B-PER	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
Nachricht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
Bin	O	O	O	O	O	O	_	_	_
wirklich	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
krank	O	O	O	O	O	O	_	_	_
Schreibe	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
regelmäßig	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
8	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
warte	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Schmerzen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Nachricht	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
kommen	O	O	O	O	O	O	_	_	_
Warum	O	O	O	O	O	O	_	_	_
schreibst	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
Bist	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
vieleicht	O	O	O	O	O	O	_	_	_
krank	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
bist	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
sonst	O	O	O	O	O	O	_	_	_
verhindert	O	O	O	O	O	O	_	_	_
Bitte	O	O	O	O	O	O	_	_	_
schreibe	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
wenige	O	O	O	O	O	O	_	_	_
Zeilen	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
Nur	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
weiß	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
vergessen	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
Deine	O	O	O	O	O	O	_	_	_
Bilder	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
darüber	O	O	O	O	O	O	_	_	_
gefeu	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
getroffen	O	O	O	O	O	O	_	_	_
Solchen	O	O	O	O	O	O	_	_	_
meint	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
bist	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sucht	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
19	O	O	O	O	O	O	_	_	_
Jahr	O	O	O	O	O	O	_	_	_
wärst	O	O	O	O	O	O	_	_	_
Mückte	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
unterbrachen	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
